Country,WHO Region,cases_cumulative_total,cases_cumulative_total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,deaths_cumulative_total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
United States of America,Americas,21170475,63958.63,1592258,299562,358111,1081.9,18561,3825,Community transmission
India,South-East Asia,10413417,7545.93,126708,18139,150570,109.11,1576,234,Clusters of cases
Brazil,Americas,7873830,37042.96,254630,63430,198974,936.09,5099,1242,Community transmission
Russian Federation,Europe,3355794,22995.21,169458,23652,60911,417.39,3356,454,Clusters of cases
The United Kingdom,Europe,2889423,42562.86,400639,52618,78508,1156.47,4996,1162,Community transmission
France,Europe,2682250,41092.47,105830,21510,66460,1018.18,2206,276,Community transmission
Italy,Europe,2220361,36723.35,113195,18416,77291,1278.34,3132,414,Clusters of cases
Spain,Europe,2024904,43309.03,76578,6470,51675,1105.23,544,24,Community transmission
Germany,Europe,1866887,22282.16,124226,31849,38795,463.04,5171,1188,Community transmission
Colombia,Americas,1719771,33798.61,93310,16805,44723,878.94,1814,295,Community transmission
Argentina,Americas,1676171,37086.9,62243,13441,43976,973.01,813,191,Community transmission
Turkey,Europe,1481764,17569.13,87450,12171,22264,263.98,1383,194,Community transmission
Mexico,Americas,1479835,11477.57,65900,13345,129987,1008.18,5090,1165,Community transmission
Poland,Europe,1365645,36083.68,59871,8763,30574,807.84,1618,333,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1268263,15099.64,43120,6360,55933,665.92,710,103,Community transmission
South Africa,Africa,1149591,19383.18,110430,21832,31368,528.89,3335,844,Community transmission
Ukraine,Europe,1105169,25270.38,40690,5676,19588,447.89,908,83,Community transmission
Peru,Americas,1024432,31069.89,11818,2414,37991,1152.23,370,66,Community transmission
Netherlands,Europe,850790,49652.54,54117,9737,12084,705.23,660,85,Community transmission
Czechia,Europe,809601,75600.19,77579,14861,12800,1195.26,1089,179,Community transmission
Indonesia,South-East Asia,797723,2916.47,54525,9321,23520,85.99,1382,224,Community transmission
Romania,Europe,658958,34253.49,26695,4951,16410,853.01,643,111,Community transmission
Belgium,Europe,658655,56831.44,9580,3,19936,1720.16,317,8,Community transmission
Chile,Americas,629176,32913.23,20203,3693,16913,884.75,305,97,Community transmission
Canada,Americas,626799,16607.4,53817,8153,16369,433.71,897,136,Community transmission
Iraq,Eastern Mediterranean,600755,14935.8,5464,790,12869,319.95,56,4,Community transmission
Bangladesh,South-East Asia,519905,3156.88,6395,1007,7718,46.86,159,31,Community transmission
Pakistan,Eastern Mediterranean,495075,2241.25,15360,2481,10511,47.58,406,50,Clusters of cases
Sweden,Europe,482284,47754.37,34434,4931,9262,917.1,87,2,Community transmission
Philippines,Western Pacific,482083,4399.33,8019,1346,9356,85.38,112,9,Community transmission
Switzerland,Europe,472391,54582.51,22316,3964,7474,863.58,425,74,Community transmission
Israel,Europe,457721,52881.88,37943,0,3503,404.71,183,0,Community transmission
Portugal,Europe,456533,44772.58,42855,9927,7472,732.79,566,95,Clusters of cases
Morocco,Eastern Mediterranean,448678,12155.82,9485,1597,7645,207.12,257,27,Clusters of cases
Austria,Europe,373663,41488.62,14301,2006,6504,722.15,373,50,Community transmission
Saudi Arabia,Eastern Mediterranean,363485,10440.81,744,108,6278,180.33,55,6,Sporadic cases
Serbia,Europe,353907,50821.22,15984,1787,3479,499.59,268,35,Community transmission
Hungary,Europe,337743,34961.77,12465,2907,10440,1080.71,773,115,Community transmission
Jordan,Eastern Mediterranean,304071,29801.73,9577,1215,3968,388.9,134,13,Community transmission
Japan,Western Pacific,265299,2097.62,30904,6906,3857,30.5,397,66,Clusters of cases
Panama,Americas,264956,61406.79,22212,5186,4283,992.64,308,45,Community transmission
Nepal,South-East Asia,263605,9047.15,3012,412,1903,65.31,47,4,Clusters of cases
Georgia,Europe,236028,59167.24,7618,537,2728,683.85,200,34,Community transmission
Azerbaijan,Europe,222885,21982.55,4185,685,2845,280.59,204,27,Clusters of cases
United Arab Emirates,Eastern Mediterranean,221754,22421.13,13932,2988,694,70.17,25,5,Community transmission
Ecuador,Americas,218385,12377.96,5873,1008,14158,802.47,124,12,Community transmission
Croatia,Europe,217946,53089.36,5939,1098,4304,1048.41,343,38,Community transmission
Bulgaria,Europe,207259,29828.11,4993,867,8017,1153.78,441,56,Clusters of cases
Kazakhstan,Europe,206840,11015.78,4681,0,2845,151.52,96,0,Clusters of cases
Belarus,Europe,206796,21884.74,12512,1838,1489,157.58,65,9,Community transmission
Lebanon,Eastern Mediterranean,204699,29990.57,23196,4774,1553,227.53,98,16,Community transmission
Slovakia,Europe,201164,36845.64,16656,2980,2788,510.66,538,71,Clusters of cases
Dominican Republic,Americas,177493,16361.95,6708,1115,2423,223.36,9,4,Community transmission
Denmark,Europe,176837,30530.19,13358,1842,1487,256.72,189,37,Community transmission
Costa Rica,Americas,175038,34360.81,6924,1447,2267,445.02,96,19,Community transmission
Bolivia (Plurinational State of),Americas,166981,14304.87,8609,1713,9287,795.6,138,46,Community transmission
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,163573,32064.25,8208,1251,1684,330.1,155,21,Community transmission
Armenia,Europe,161415,54472.41,2693,361,2908,981.36,90,7,Community transmission
Lithuania,Europe,156539,57502.71,12636,1989,2119,778.39,530,43,Community transmission
Kuwait,Eastern Mediterranean,152978,35821.44,2394,540,938,219.64,4,0,Community transmission
Tunisia,Eastern Mediterranean,152254,12882.55,13114,2373,5052,427.46,376,48,Community transmission
Republic of Moldova,Europe,148294,36761.37,3476,423,3106,769.96,121,18,Community transmission
Egypt,Eastern Mediterranean,146809,1434.6,8747,1219,8029,78.46,398,54,Clusters of cases
Qatar,Eastern Mediterranean,145271,50422.88,1437,210,245,85.04,0,0,Community transmission
Greece,Europe,142777,13698.19,3927,510,5146,493.71,308,47,Community transmission
Guatemala,Americas,141074,7874.38,3062,872,4928,275.07,115,29,Community transmission
Slovenia,Europe,134545,64718.14,10595,2758,3044,1464.21,202,74,Clusters of cases
Oman,Eastern Mediterranean,130070,25470.83,1203,182,1505,294.72,6,1,Community transmission
Myanmar,South-East Asia,128772,2366.71,4142,594,2799,51.44,117,14,Clusters of cases
Malaysia,Western Pacific,128465,3969.13,15455,3027,521,16.1,50,8,Clusters of cases
Ireland,Europe,127657,25853.08,35878,6503,2307,467.21,70,8,Community transmission
Ethiopia,Africa,126786,1102.84,2930,545,1965,17.09,47,2,Community transmission
Honduras,Americas,124899,12610.19,3072,1077,3192,322.27,62,6,Community transmission
Venezuela (Bolivarian Republic of),Americas,114908,4040.94,1787,246,1047,36.82,22,5,Community transmission
Bosnia and Herzegovina,Europe,114402,34869.95,2759,250,4264,1299.68,192,16,Community transmission
Paraguay,Americas,111694,15659.78,4736,898,2337,327.65,95,16,Community transmission
Libya,Eastern Mediterranean,103515,15064.85,3238,635,1558,226.74,80,12,Community transmission
Algeria,Africa,101120,2305.99,1809,475,2786,63.53,35,9,Community transmission
Kenya,Africa,97398,1811.34,1147,271,1694,31.5,27,4,Community transmission
China,Western Pacific,97306,66.14,544,89,4795,3.26,6,0,Clusters of cases
Bahrain,Eastern Mediterranean,94633,55614.94,1958,349,353,207.45,1,0,Clusters of cases
Nigeria,Africa,94369,457.79,7793,1664,1324,6.42,46,5,Community transmission
North Macedonia,Europe,85494,41036.2,2165,166,2581,1238.85,78,10,Community transmission
Kyrgyzstan,Europe,81991,12567.22,835,165,1365,209.22,9,2,Clusters of cases
Puerto Rico,Americas,79898,27928.03,3607,286,1588,555.08,85,18,Community transmission
Uzbekistan,Europe,77485,2315.11,359,73,616,18.4,2,1,Clusters of cases
Republic of Korea,Western Pacific,67358,1313.81,5596,674,1081,21.08,164,35,Clusters of cases
Albania,Europe,61705,21441.75,3389,697,1223,424.98,42,6,Clusters of cases
Singapore,Western Pacific,58813,10052.92,214,33,29,4.96,0,0,Sporadic cases
Ghana,Africa,55168,1775.44,397,0,335,10.78,0,0,Community transmission
Afghanistan,Eastern Mediterranean,53332,1370,819,125,2257,57.98,56,4,Clusters of cases
Norway,Europe,52967,9770.27,4689,787,467,86.14,31,1,Community transmission
Kosovo[1],Europe,52900,28435.04,1615,309,1353,727.27,28,6,Community transmission
Montenegro,Europe,51289,81661.8,2497,0,708,1127.27,24,0,Clusters of cases
El Salvador,Americas,47948,7392.3,1988,593,1390,214.3,54,17,Community transmission
Luxembourg,Europe,47591,76026.63,993,161,521,832.3,23,4,Community transmission
Sri Lanka,South-East Asia,46780,2184.63,3481,532,219,10.23,15,0,Clusters of cases
Latvia,Europe,46545,24676.62,5641,1374,790,418.83,155,36,Community transmission
Finland,Europe,37772,6817.16,1665,223,584,105.4,23,8,Community transmission
Uganda,Africa,36702,802.39,2025,652,294,6.43,45,20,Community transmission
Estonia,Europe,32537,24527.81,4131,786,270,203.54,36,5,Clusters of cases
Australia,Western Pacific,28547,1119.5,139,11,909,35.65,0,0,Clusters of cases
Cameroon,Africa,26848,1011.38,571,0,448,16.88,0,0,Community transmission
Namibia,Africa,26310,10354.58,2977,423,235,92.49,39,13,Community transmission
Cyprus,Europe,26208,21706.88,3557,427,140,115.96,15,2,Clusters of cases
Zambia,Africa,23495,1278.02,3033,850,417,22.68,31,5,Community transmission
Sudan,Eastern Mediterranean,23316,531.73,0,0,1468,33.48,0,0,Community transmission
Uruguay,Americas,23048,6634.94,4568,944,221,63.62,47,4,Community transmission
Côte d’Ivoire,Africa,22855,866.43,605,55,138,5.23,1,0,Community transmission
Senegal,Africa,20156,1203.78,1211,192,433,25.86,31,5,Community transmission
Mozambique,Africa,19667,629.23,1294,204,172,5.5,9,1,Community transmission
Democratic Republic of the Congo,Africa,18152,202.68,972,0,601,6.71,17,0,Community transmission
Angola,Africa,17864,543.54,493,180,413,12.57,14,5,Community transmission
Zimbabwe,Africa,17804,1197.88,4179,610,431,29,71,13,Community transmission
Madagascar,Africa,17767,641.62,53,0,262,9.46,1,0,Community transmission
